"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 06 04:57:47 UTC 2026","Mon Jul 06 04:57:47 UTC 2026","29","EaseMyTrade Playwright Suite","Home Page Tests","com.easemytrade.tests.HomePageTest","com.easemytrade.tests.HomePageTest","testMarketTickerPresence","Live market ticker strip is present in the header area",""
"passed","Mon Jul 06 04:59:41 UTC 2026","Mon Jul 06 04:59:41 UTC 2026","677","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testReportGenerationForReliance","Searching for 'Reliance' generates a report with analysis cards",""
"passed","Mon Jul 06 05:00:24 UTC 2026","Mon Jul 06 05:00:28 UTC 2026","4470","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testSearchExamplesUpdateStatus","Searching a stock from the quick examples returns a status update (not an error)",""
"passed","Mon Jul 06 04:58:18 UTC 2026","Mon Jul 06 04:58:18 UTC 2026","4","EaseMyTrade Playwright Suite","Login Page Tests","com.easemytrade.tests.LoginPageTest","com.easemytrade.tests.LoginPageTest","testLoginPageTitle","Login page loads with correct title",""
"passed","Mon Jul 06 04:58:45 UTC 2026","Mon Jul 06 04:58:46 UTC 2026","206","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testAiRecommendationIsValid","AI Recommendation must be one of the expected verdict values",""
"passed","Mon Jul 06 04:59:35 UTC 2026","Mon Jul 06 04:59:35 UTC 2026","21","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testInitialStatusMessage","Initial status message is present before any search",""
"passed","Mon Jul 06 04:57:44 UTC 2026","Mon Jul 06 04:57:45 UTC 2026","1027","EaseMyTrade Playwright Suite","Home Page Tests","com.easemytrade.tests.HomePageTest","com.easemytrade.tests.HomePageTest","testMarketDriversPanel","Market drivers panel is present",""
"passed","Mon Jul 06 05:00:07 UTC 2026","Mon Jul 06 05:00:12 UTC 2026","4464","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testSearchExamplesUpdateStatus","Searching a stock from the quick examples returns a status update (not an error)",""
"passed","Mon Jul 06 05:00:45 UTC 2026","Mon Jul 06 05:00:45 UTC 2026","560","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testUniverseSelectionUpdatesLabel","Selecting NIFTY 50 universe updates the dropdown summary text",""
"passed","Mon Jul 06 04:56:38 UTC 2026","Mon Jul 06 04:56:42 UTC 2026","3496","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testIndexPageLoads","All index pages (NIFTY, BANKNIFTY, FINNIFTY, SENSEX) load and contain index name in title/content",""
"failed","Mon Jul 06 05:01:05 UTC 2026","Mon Jul 06 05:01:07 UTC 2026","2113","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testCommodityPageNavigation","Commodity pages have navigation header with all links",""
"passed","Mon Jul 06 05:00:32 UTC 2026","Mon Jul 06 05:00:32 UTC 2026","458","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testSearchFormElements","Search form is present with input, Generate Report, and Best Pick buttons",""
"passed","Mon Jul 06 04:59:20 UTC 2026","Mon Jul 06 04:59:22 UTC 2026","1968","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testFiveAiRobotCardsVisible","Expert View AI systems section shows five robot cards after a scan",""
"passed","Mon Jul 06 04:57:16 UTC 2026","Mon Jul 06 04:57:19 UTC 2026","2649","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testPublicPageLoads","All public pages load without errors and have expected title keywords",""
"passed","Mon Jul 06 04:56:24 UTC 2026","Mon Jul 06 04:56:25 UTC 2026","1236","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testFooterDisclaimerNavigation","Disclaimer link in footer navigates to the disclaimer page",""
"failed","Mon Jul 06 04:57:50 UTC 2026","Mon Jul 06 04:57:50 UTC 2026","117","EaseMyTrade Playwright Suite","Home Page Tests","com.easemytrade.tests.HomePageTest","com.easemytrade.tests.HomePageTest","testNiftyZoneSignalState","NIFTY zone signal state is one of the valid values",""
"broken","Mon Jul 06 05:01:58 UTC 2026","Mon Jul 06 05:02:30 UTC 2026","32377","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testIndexPageNavigation","Index pages have fully functional navigation header",""
"failed","Mon Jul 06 05:01:01 UTC 2026","Mon Jul 06 05:01:03 UTC 2026","2085","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testCommodityPageNavigation","Commodity pages have navigation header with all links",""
"passed","Mon Jul 06 04:56:26 UTC 2026","Mon Jul 06 04:56:27 UTC 2026","1434","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testHomeOpenMarketOverviewCta","Home page open market overview CTA scrolls to or navigates to market overview section",""
"failed","Mon Jul 06 04:56:13 UTC 2026","Mon Jul 06 04:56:16 UTC 2026","2180","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testCommodityPageLoads","All commodity pages load with the commodity name in page title or body",""
"passed","Mon Jul 06 04:57:30 UTC 2026","Mon Jul 06 04:57:31 UTC 2026","1054","EaseMyTrade Playwright Suite","Home Page Tests","com.easemytrade.tests.HomePageTest","com.easemytrade.tests.HomePageTest","testHeaderNavigation","Header navigation is visible with all links",""
"passed","Mon Jul 06 04:59:38 UTC 2026","Mon Jul 06 04:59:38 UTC 2026","21","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testPageBodyAttribute","Expert View page body has correct data-page attribute",""
"failed","Mon Jul 06 05:00:49 UTC 2026","Mon Jul 06 05:00:52 UTC 2026","2125","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testCommodityPageContent","Commodity pages load with commodity name present in body",""
"passed","Mon Jul 06 04:56:43 UTC 2026","Mon Jul 06 04:56:46 UTC 2026","3423","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testIndexPageLoads","All index pages (NIFTY, BANKNIFTY, FINNIFTY, SENSEX) load and contain index name in title/content",""
"failed","Mon Jul 06 04:56:18 UTC 2026","Mon Jul 06 04:56:20 UTC 2026","2208","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testCommodityPageLoads","All commodity pages load with the commodity name in page title or body",""
"passed","Mon Jul 06 04:58:54 UTC 2026","Mon Jul 06 04:58:54 UTC 2026","23","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testBestPickNavButtonsPresent","Best Pick navigation buttons (Prev/Next) are present",""
"passed","Mon Jul 06 04:57:19 UTC 2026","Mon Jul 06 04:57:20 UTC 2026","951","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testTitleFormatConsistency","Page title format is consistent: '{Page Name} | EaseMyTrade'",""
"failed","Mon Jul 06 04:58:39 UTC 2026","Mon Jul 06 04:58:39 UTC 2026","63","EaseMyTrade Playwright Suite","Signal Logic Tests","com.easemytrade.tests.SignalLogicTest","com.easemytrade.tests.SignalLogicTest","testNiftySignalStateIsValid","NIFTY zone signal state is one of the valid engine states",""
