"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"🔶 Navigation Failures","8","0","0","0","0"
"🟡 Network / API Failures","8","0","0","0","0"
"🔴 Product Defects","6","0","0","0","0"
"🟠 Signal Logic Failures","1","0","0","0","0"
"✅ Passed","0","0","123","0","0"
