"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"🟡 Network / API Failures","9","0","0","0","0"
"🔶 Navigation Failures","8","0","0","0","0"
"🔴 Product Defects","5","0","0","0","0"
"Product defects","2","0","0","0","0"
"✅ Passed","0","0","121","0","0"
