"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Test defects","0","7","0","0","0"
"⚫ Infrastructure / Playwright Errors","0","1","0","0","0"
"⚪ Skipped Tests","0","0","0","137","0"
