"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","11","0","0","0","0"
"🔴 Product Defects","5","0","0","0","0"
"🔶 Navigation Failures","2","0","0","0","0"
"🟡 Network / API Failures","1","0","0","0","0"
"Test defects","0","31","0","0","0"
"✅ Passed","0","0","63","0","0"
"⚪ Skipped Tests","0","0","0","25","0"
