"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 15 20:28:09 UTC 2026","Mon Jun 15 20:28:09 UTC 2026","364","EaseMyTrade Playwright Suite","Content Pages Tests","com.easemytrade.tests.ContentPagesTest","com.easemytrade.tests.ContentPagesTest","testContactPageHasParagraphs","Contact page paragraphs are non-empty",""
"failed","Mon Jun 15 20:22:40 UTC 2026","Mon Jun 15 20:22:40 UTC 2026","495","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testCommodityPageLoads","All commodity pages load with the commodity name in page title or body",""
"passed","Mon Jun 15 20:28:05 UTC 2026","Mon Jun 15 20:28:06 UTC 2026","592","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testNiftySignalState","NIFTY page shows a valid signal state",""
"passed","Mon Jun 15 20:22:43 UTC 2026","Mon Jun 15 20:22:44 UTC 2026","595","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testFooterDisclaimerNavigation","Disclaimer link in footer navigates to the disclaimer page",""
"broken","Mon Jun 15 20:22:48 UTC 2026","Mon Jun 15 20:22:48 UTC 2026","426","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testIndexPageLoads","All index pages (NIFTY, BANKNIFTY, FINNIFTY, SENSEX) load and contain index name in title/content",""
"passed","Mon Jun 15 20:22:53 UTC 2026","Mon Jun 15 20:22:54 UTC 2026","1305","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testPublicPageLoads","All public pages load without errors and have expected title keywords",""
"broken","Mon Jun 15 20:25:00 UTC 2026","Mon Jun 15 20:25:00 UTC 2026","358","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testIndexPageTitle","Each index page has a title containing EaseMyTrade",""
"skipped","Mon Jun 15 20:24:14 UTC 2026","Mon Jun 15 20:24:14 UTC 2026","0","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testBestPickButtonInitiatesScan","Best Pick button initiates a scan for the selected universe",""
"passed","Mon Jun 15 20:24:00 UTC 2026","Mon Jun 15 20:24:01 UTC 2026","309","EaseMyTrade Playwright Suite","Signal Logic Tests","com.easemytrade.tests.SignalLogicTest","com.easemytrade.tests.SignalLogicTest","testBuySignalGeometryFromJson","When signal is Trade Signal: stop loss must be below entry and target must be above entry (buy)",""
"passed","Mon Jun 15 20:24:12 UTC 2026","Mon Jun 15 20:24:12 UTC 2026","123","EaseMyTrade Playwright Suite","Signal Logic Tests","com.easemytrade.tests.SignalLogicTest","com.easemytrade.tests.SignalLogicTest","testSessionGuardCompletedTradesLimit","Session guard logic: verify completed trades count is within daily limit (max 2)",""
"broken","Mon Jun 15 20:24:55 UTC 2026","Mon Jun 15 20:24:56 UTC 2026","387","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testIndexPageNavigation","Index pages have fully functional navigation header",""
"failed","Mon Jun 15 20:24:19 UTC 2026","Mon Jun 15 20:24:19 UTC 2026","474","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testCommodityPageNavigation","Commodity pages have navigation header with all links",""
"failed","Mon Jun 15 20:22:58 UTC 2026","Mon Jun 15 20:22:58 UTC 2026","442","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testPublicPageLoads","All public pages load without errors and have expected title keywords",""
"skipped","Mon Jun 15 20:24:14 UTC 2026","Mon Jun 15 20:24:14 UTC 2026","0","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testHeroSectionContent","Expert View hero section is present with the AI Terminal headline",""
"passed","Mon Jun 15 20:23:53 UTC 2026","Mon Jun 15 20:23:54 UTC 2026","1072","EaseMyTrade Playwright Suite","Login Page Tests","com.easemytrade.tests.LoginPageTest","com.easemytrade.tests.LoginPageTest","testMissingPasswordShowsError","Submitting with only username shows error about missing password",""
"passed","Mon Jun 15 20:23:35 UTC 2026","Mon Jun 15 20:23:35 UTC 2026","18","EaseMyTrade Playwright Suite","Login Page Tests","com.easemytrade.tests.LoginPageTest","com.easemytrade.tests.LoginPageTest","testBrandLogoLinksToHome","Login page brand logo links to home page",""
"failed","Mon Jun 15 20:22:41 UTC 2026","Mon Jun 15 20:22:41 UTC 2026","608","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testCommodityPageLoads","All commodity pages load with the commodity name in page title or body",""
"failed","Mon Jun 15 20:24:17 UTC 2026","Mon Jun 15 20:24:18 UTC 2026","448","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testCommodityPageContent","Commodity pages load with commodity name present in body",""
"passed","Mon Jun 15 20:28:16 UTC 2026","Mon Jun 15 20:28:17 UTC 2026","651","EaseMyTrade Playwright Suite","Content Pages Tests","com.easemytrade.tests.ContentPagesTest","com.easemytrade.tests.ContentPagesTest","testTelegramStatusPageLoads","Telegram status page loads without 404",""
"passed","Mon Jun 15 20:23:42 UTC 2026","Mon Jun 15 20:23:50 UTC 2026","8455","EaseMyTrade Playwright Suite","Login Page Tests","com.easemytrade.tests.LoginPageTest","com.easemytrade.tests.LoginPageTest","testLoginCooldownAfterMaxAttempts","After 4 failed attempts, login is temporarily locked (cooldown message appears)",""
"failed","Mon Jun 15 20:24:52 UTC 2026","Mon Jun 15 20:24:52 UTC 2026","470","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testIndexPageLoadsWithContent","Each index page loads with the index name in page content",""
"passed","Mon Jun 15 20:23:07 UTC 2026","Mon Jun 15 20:23:07 UTC 2026","47","EaseMyTrade Playwright Suite","Home Page Tests","com.easemytrade.tests.HomePageTest","com.easemytrade.tests.HomePageTest","testFooterPresence","Footer is present with disclaimer link",""
"passed","Mon Jun 15 20:23:52 UTC 2026","Mon Jun 15 20:23:52 UTC 2026","138","EaseMyTrade Playwright Suite","Login Page Tests","com.easemytrade.tests.LoginPageTest","com.easemytrade.tests.LoginPageTest","testLoginNextQueryParam","Login redirect preserves 'next' query parameter destination",""
"skipped","Mon Jun 15 20:24:15 UTC 2026","Mon Jun 15 20:24:15 UTC 2026","1","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testShortHorizonScopeAfterScan","Short Horizon Scope is shown after successful scan",""
