"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","19","0","0","0","0"
"🔴 Product Defects","10","0","0","0","0"
"🔶 Navigation Failures","4","0","0","0","0"
"🔵 Expert View Failures","2","0","0","0","0"
"🟡 Network / API Failures","1","0","0","0","0"
"Test defects","0","13","0","0","0"
"✅ Passed","0","0","71","0","0"
"⚪ Skipped Tests","0","0","0","20","0"
