"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","2","0","0","0","0"
"🔴 Product Defects","1","0","0","0","0"
"Test defects","0","3","0","0","0"
"✅ Passed","0","0","73","0","0"
"⚪ Skipped Tests","0","0","0","58","0"
