"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 16 07:48:24 UTC 2026","Tue Jun 16 07:48:27 UTC 2026","3228","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testIndexPageLoadsWithContent","Each index page loads with the index name in page content",""
"failed","Tue Jun 16 07:46:49 UTC 2026","Tue Jun 16 07:46:50 UTC 2026","138","EaseMyTrade Playwright Suite","Expert View Tests","com.easemytrade.tests.ExpertViewTest","com.easemytrade.tests.ExpertViewTest","testReportSections","Report contains sections for Trend, Momentum, Support & Resistance, and Risk",""
"passed","Tue Jun 16 07:48:08 UTC 2026","Tue Jun 16 07:48:10 UTC 2026","2392","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testCommodityPageNavigation","Commodity pages have navigation header with all links",""
"passed","Tue Jun 16 07:48:43 UTC 2026","Tue Jun 16 07:48:46 UTC 2026","2392","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testIndexPageNavigation","Index pages have fully functional navigation header",""
"failed","Tue Jun 16 07:41:18 UTC 2026","Tue Jun 16 07:41:19 UTC 2026","474","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testPublicPageLoads","All public pages load without errors and have expected title keywords",""
"passed","Tue Jun 16 07:48:40 UTC 2026","Tue Jun 16 07:48:42 UTC 2026","2394","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testIndexPageNavigation","Index pages have fully functional navigation header",""
"passed","Tue Jun 16 07:41:34 UTC 2026","Tue Jun 16 07:41:37 UTC 2026","2754","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testPublicPageLoads","All public pages load without errors and have expected title keywords",""
"passed","Tue Jun 16 07:48:28 UTC 2026","Tue Jun 16 07:48:32 UTC 2026","3286","EaseMyTrade Playwright Suite","Index Page Tests","com.easemytrade.tests.IndexPageTest","com.easemytrade.tests.IndexPageTest","testIndexPageLoadsWithContent","Each index page loads with the index name in page content",""
"broken","Tue Jun 16 07:43:56 UTC 2026","Tue Jun 16 07:44:26 UTC 2026","30001","EaseMyTrade Playwright Suite","Login Page Tests","com.easemytrade.tests.LoginPageTest","com.easemytrade.tests.LoginPageTest","testMissingPasswordShowsError","Submitting with only username shows error about missing password",""
"passed","Tue Jun 16 07:40:41 UTC 2026","Tue Jun 16 07:40:44 UTC 2026","2868","EaseMyTrade Playwright Suite","Navigation Tests","com.easemytrade.tests.NavigationTest","com.easemytrade.tests.NavigationTest","testCommodityPageLoads","All commodity pages load with the commodity name in page title or body",""
