"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"🔶 Navigation Failures","8","0","0","0","0"
"🟡 Network / API Failures","8","0","0","0","0"
"🔴 Product Defects","5","0","0","0","0"
"Product defects","2","0","0","0","0"
"✅ Passed","0","0","122","0","0"
