"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","11","0","0","0","0"
"🔴 Product Defects","6","0","0","0","0"
"🔶 Navigation Failures","3","0","0","0","0"
"🔵 Expert View Failures","3","0","0","0","0"
"🟡 Network / API Failures","1","0","0","0","0"
"Test defects","0","40","0","0","0"
"✅ Passed","0","0","59","0","0"
"⚪ Skipped Tests","0","0","0","17","0"
