"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"🔴 Product Defects","14","0","0","0","0"
"Product defects","3","0","0","0","0"
"🔶 Navigation Failures","1","0","0","0","0"
"Test defects","0","11","0","0","0"
"✅ Passed","0","0","94","0","0"
"⚪ Skipped Tests","0","0","0","14","0"
